,Unnamed: 0,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,transfers,currently,status,statusDate,COD,entryDate,timespent,count
467,468,Commerson's,"NOA0002775, SWC-CC-8330",Betsy,F,estimate,,Capture,1983-11-23,"Straits of Magellan, Chile","Chile, Straits of Magellan to Holding, Chile (23-Nov-1983) to SeaWorld San Diego (??-Dec-1983) to Aquatica Orlando (10-Jan-2016)",Aquatica Orlando,Died,2016-01-17,"Geriatric animal, age-related cardiovascular & central nervous system degeneration",1983-11-23,11743.0,1
470,471,Bottlenose,"NOA0000663, 22196",Vicki,F,estimate,1947,Capture,1960-11-01,"Atlantic Ocean, FL","Florida, Atlantic Ocean to Miami Seaquarium (??-Nov-1960) to Brookfield Zoo (28-Jan-1961)",Brookfield Zoo,Died,1978-04-20,-,1960-11-01,6379.0,1
471,472,Bottlenose,"NOA0000661, 22198",Salty,M,estimate,1952,Capture,1964-01-01,Florida,"Florida, Unknown to Santini's/Dolphin Research Center (??-???-1964) to Brookfield Zoo (15-Aug-1964)",Brookfield Zoo,Died,1974-09-23,Hepatic dysfunction,1964-01-01,3918.0,1
472,473,Bottlenose,"NOA0000669, AZA 1019",Angie,F,estimate,1956,Capture,1964-08-15,"Gulf of Mexico, FL, US","Florida, Atlantic Ocean to Unknown, Florida (15-Aug-1964) to Brookfield Zoo (03-May-1968)",Brookfield Zoo,Died,1990-01-26,Cardiovascular collapse,1964-08-15,9295.0,1
473,474,Bottlenose,"NOA0000662, 22708",Drumstick,M,estimate,1968,Capture,1972-11-28,"Texas, Gulf of Mexico","Texas, Gulf of Mexico to Brookfield Zoo (28-Nov-1972)",Brookfield Zoo,Died,1975-09-10,Hemorrhagic pancreatitis,1972-11-28,1016.0,1
474,475,Bottlenose,"NOA0000683, ISIS 900317, TT09",Connie,F,estimate,1969,Capture,1973-08-02,"Texas, Gulf of Mexico","Texas, Gulf of Mexico to Sea-Arama (02-Aug-1973) to Six Flags Over Texas (09-Mar-1990) to Brookfield Zoo (28-Dec-1990)",Brookfield Zoo,Died,1995-01-05,Systemic amyloidosis,1973-08-02,7826.0,1
475,476,Bottlenose,"NOA0000664, 22709",Bunker,M,estimate,1973,Capture,1975-05-13,Florida Keys,Florida Keys to Dolphin Research Center (13-May-1975) to Brookfield Zoo (18-Jun-1975),Brookfield Zoo,Died,1978-07-29,"Pneumonia, gastritis",1975-05-13,1173.0,1
476,477,Bottlenose,"NOA0000666, 23037",Shana,F,estimate,1973,Capture,1976-01-25,Florida Keys,Florida Keys to Dolphin Research Center (25-Jan-1976) to Brookfield Zoo (13-Mar-1976),Brookfield Zoo,Died,1987-11-10,Chronic pneumonia,1976-01-25,4307.0,1
493,494,Bottlenose,"NOA0010233, 6577",Birdie,F,estimate,2011,Rescue,2014-12-18,"Bolivar Peninsula, TX","Bolivar Peninsula, Texas to Texas Marine Mammal Stranding Network (18-Dec-2014) to Brookfield Zoo (05-Sep-2015)",Brookfield Zoo,Died,2015-11-03,Euthanasia,2014-12-18,320.0,1
494,495,Bottlenose,NOA0003784,Sunset Sam,M,estimate,1979,Rescue,1984-05-24,"Tampa Bay, FL","Tampa Bay, Florida to Clearwater Marine Aquarium (24-May-1984) to SeaWorld Orlando (D1988/J1989) to Clearwater Marine Aquarium (??-Mar-1989)",Clearwater Marine Aquarium,Died,2001-12-04,acute-suspect age related,1984-05-24,6403.0,1
495,496,Bottlenose,"NOA0004996, AZA 234, TT-675 (Navy)",Sybilsbl,F,estimate,1979,Capture,1984-08-29,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Holding, probably Marine Animal Productions (29-Aug-1984) to U.S. Navy (26-Sep-1984) to Clearwater Marine Aquarium (17-Jul-1991)",Clearwater Marine Aquarium,Died,1993-07-29,Bronchopneumonia,1984-08-29,3256.0,1
496,497,Bottlenose,"NOA0003786, SWF-TT-9317B",Halona,F,estimate,,Rescue,1993-09-09,"Unknown, FL","Unknown, Florida to SeaWorld Orlando (09-Sep-1993) to Unknown Site, Florida (15-Dec-1993) to Unknown Site, Florida (16-Dec-1993) to SeaWorld Orlando? (16-Dec-1993) to Clearwater Marine Aquarium (28-Dec-1993*)",Clearwater Marine Aquarium,Died,1996-06-02,Drowning due to severe disseminated infection/fistulous tract leading from esophagus to left ventral hemithorax,1993-09-09,997.0,1
497,498,Bottlenose,"FMMSN 9626, MML 9623",Belle,F,estimate,,Rescue,1996-07-13,"Sanibel Island, FL","Sanibel Island, Florida to Mote Marine Laboratory (13-Jul-1996) to Clearwater Marine Aquarium (29-Jul-1996)",Clearwater Marine Aquarium,Died,1996-12-04,-,1996-07-13,144.0,1
498,499,Bottlenose,"NOA0006002, AZA 832, 10212000",Panama,F,estimate,1977,Rescue,2000-10-21,"Panama City, FL","Panama City, Florida to Gulf World Marine Park (21-Oct-2000) to Clearwater Marine Aquarium (23-Mar-2001)",Clearwater Marine Aquarium,Died,2013-09-25,Bilateral pneumonia,2000-10-21,4722.0,1
500,501,Bottlenose,"UNK0001227, MH-80-502-TT, NOA0002958, SWF-TT-8803",Carole,F,estimate,1973,Capture,1976-11-07,"Florida, US","Unknown, Florida to Montreal Aquarium (07-Nov-1976) to New England Aquarium (23-Apr-1980) to SeaWorld Orlando (20-Mar-1988) to Discovery Cove (~ Feb 2000)",Discovery Cove,Died,2000-02-24,Lymphoma,1980-04-23,8509.0,1
502,503,Bottlenose,"NOA0002669, AZA 170, SWF-TT-8003",Jenny,F,estimate,1976,Capture,1980-02-08,"Indian River, FL, US","Indian River, Florida to SeaWorld Orlando (08-Feb-1980) to SeaWorld San Diego (1980s) to SeaWorld Orlando (1980s) to SeaWorld San Diego (1986?) to Discovery Cove (02-Apr-2000)",Discovery Cove,Died,2016-07-27,Euthanasia: Life threatening condition involving pain/suffering,1980-02-08,13319.0,1
503,504,Bottlenose,"NOA0002857, AZA 152, SWC-TT-8728",Natasha,F,estimate,1974,Capture,1982-04-15,Florida,"Florida, Unknown to Holding, Unknown (15-Apr-1982) to Point Defiance Zoo (??-???-1982) to Marineland of the Pacific (??-Mar-1983) to SeaWorld San Diego (10-Feb-1987) to Discovery Cove (04-Apr-2004)",Discovery Cove,Died,2008-04-26,traumatic cervical vertebral fracture,1982-04-15,9508.0,1
504,505,Bottlenose,"NOA0003055, 04-938",,F,estimate,1980,Capture,1983-08-13,Florida,"Florida, Unknown to Holding, Florida (13-Aug-1983) to New York Aquarium (??-Jun-1984) to National Aquarium in Baltimore (16-Jul-1991) to New York Aquarium (13-May-1992) to SeaWorld Orlando (09-Nov-1992) to Discovery Cove (??-Nov-2016)",Discovery Cove,Died,2017-01-31,-,1983-08-13,12225.0,1
510,511,Bottlenose,"NOA006134, AZA ????, HBOI-TT-0213",Lazarus,M,estimate,,Rescue,2002-07-19,"Ponce Inlet, FL","Ponce Inlet, Florida to Harbor Branch Institute (19-Jul-2002) to SeaWorld Orlando (18-Sep-2003) to Discovery Cove (??-???-????)",Discovery Cove,Died,2005-04-12,pulmonary inhalation of water; drowning,2002-07-19,998.0,1
514,515,Bottlenose,"NOA0000690, AZA 35, 910050 (ISIS)",Pepper,M,estimate,1963,Capture,1969-01-15,"Atlantic Ocean, FL","Florida, Unknown to Quinlan Marine Attractions (15-Jan-1969) to Busch Gardens Tampa (??-Jul-1979) to Dolphin Connection (15-Feb-1991?)",Dolphin Connection,Died,1995-06-26,Euthanasia,1969-01-15,9658.0,1
515,516,Bottlenose,"NOA0000665, AZA 125, 0499M (CZS)",Nemo,M,estimate,1973,Capture,1976-01-25,"Atlantic Ocean, FL","Florida, Atlantic Ocean to Dolphin Research Center (25-Jan-1976) to Brookfield Zoo (13-Mar-1976) to Dolphin Connection (29-Apr-1999)",Dolphin Connection,Died,2012-12-12,"Myocarditis, myocardial abscess",1976-01-25,13471.0,1
516,517,Bottlenose,"NOA0000692, AZA 182, 910052 (ISIS)",Schooner,F,estimate,1976,Capture,1981-09-02,"Texas, Gulf of Mexico","Texas, Gulf of Mexico to Quinlan Marine Attractions (02-Sep-1981) to National Aquarium in Baltimore (23-Oct-1990) to Dolphin Connection (17-Nov-1990)",Dolphin Connection,Died,1994-10-02,Euthanasia,1981-09-02,4778.0,1
517,518,Bottlenose,"NOA0000695, AZA 183, SWF-TT-8602, 920002 (ISIS)",Rebel,M,estimate,1978,Capture,1982-10-27,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Dinnes, Marty (Hawks Cay?) (27-Oct-1982) to SeaWorld Orlando (26-Feb-1986) to Dolphin Connection (07-Jan-1992)",Dolphin Connection,Died,1994-09-29,Pneumonia,1982-10-27,4355.0,1
