,Unnamed: 0,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,transfers,currently,status,statusDate,COD,entryDate,timespent
467,468,Commerson's,"NOA0002775, SWC-CC-8330",Betsy,F,estimate,,Capture,1983-11-23,"Straits of Magellan, Chile","Chile, Straits of Magellan to Holding, Chile (23-Nov-1983) to SeaWorld San Diego (??-Dec-1983) to Aquatica Orlando (10-Jan-2016)",Aquatica Orlando,Died,2016-01-17,"Geriatric animal, age-related cardiovascular & central nervous system degeneration",1983-11-23,11743.0
468,469,Commerson's,"NOA0003077, SWC-CC-9327",Fabio,M,actual,1993,Born,1993-09-16,SeaWorld San Diego,SeaWorld San Diego to SeaWorld Aurora (04-May-1996) to SeaWorld San Diego (18-Feb-2001) to Aquatica Orlando (27-Jan-2008),Aquatica Orlando,Died,2014-04-15,"Hepatic necrosis, gastritis",1993-09-16,7516.0
469,470,Commerson's,"NOA0005793, SWC-CC-9827",Keebler,M,actual,1998,Born,1998-10-23,SeaWorld San Diego,SeaWorld San Diego to Aquatica Orlando (27-Jan-2008),Aquatica Orlando,Died,2014-01-08,Acute hepatic necrosis,1998-10-23,5556.0
470,471,Bottlenose,"NOA0000663, 22196",Vicki,F,estimate,1947,Capture,1960-11-01,"Atlantic Ocean, FL","Florida, Atlantic Ocean to Miami Seaquarium (??-Nov-1960) to Brookfield Zoo (28-Jan-1961)",Brookfield Zoo,Died,1978-04-20,-,1960-11-01,6379.0
471,472,Bottlenose,"NOA0000661, 22198",Salty,M,estimate,1952,Capture,1964-01-01,Florida,"Florida, Unknown to Santini's/Dolphin Research Center (??-???-1964) to Brookfield Zoo (15-Aug-1964)",Brookfield Zoo,Died,1974-09-23,Hepatic dysfunction,1964-01-01,3918.0
472,473,Bottlenose,"NOA0000669, AZA 1019",Angie,F,estimate,1956,Capture,1964-08-15,"Gulf of Mexico, FL, US","Florida, Atlantic Ocean to Unknown, Florida (15-Aug-1964) to Brookfield Zoo (03-May-1968)",Brookfield Zoo,Died,1990-01-26,Cardiovascular collapse,1964-08-15,9295.0
473,474,Bottlenose,"NOA0000662, 22708",Drumstick,M,estimate,1968,Capture,1972-11-28,"Texas, Gulf of Mexico","Texas, Gulf of Mexico to Brookfield Zoo (28-Nov-1972)",Brookfield Zoo,Died,1975-09-10,Hemorrhagic pancreatitis,1972-11-28,1016.0
474,475,Bottlenose,"NOA0000683, ISIS 900317, TT09",Connie,F,estimate,1969,Capture,1973-08-02,"Texas, Gulf of Mexico","Texas, Gulf of Mexico to Sea-Arama (02-Aug-1973) to Six Flags Over Texas (09-Mar-1990) to Brookfield Zoo (28-Dec-1990)",Brookfield Zoo,Died,1995-01-05,Systemic amyloidosis,1973-08-02,7826.0
475,476,Bottlenose,"NOA0000664, 22709",Bunker,M,estimate,1973,Capture,1975-05-13,Florida Keys,Florida Keys to Dolphin Research Center (13-May-1975) to Brookfield Zoo (18-Jun-1975),Brookfield Zoo,Died,1978-07-29,"Pneumonia, gastritis",1975-05-13,1173.0
476,477,Bottlenose,"NOA0000666, 23037",Shana,F,estimate,1973,Capture,1976-01-25,Florida Keys,Florida Keys to Dolphin Research Center (25-Jan-1976) to Brookfield Zoo (13-Mar-1976),Brookfield Zoo,Died,1987-11-10,Chronic pneumonia,1976-01-25,4307.0
478,479,Bottlenose,"NOA0000682, AZA 1041, 900222",Windy's Calf,M,actual,1990,Born,1990-08-30,Brookfield Zoo,,Brookfield Zoo,Died,1990-09-07,Pulmonary congestion,1990-08-30,8.0
479,480,Bottlenose,"NOA0000694, AZA 1046, ISIS 910233",Windy's Calf,M,actual,1991,Born,1991-10-05,Brookfield Zoo,,Brookfield Zoo,Died,1991-10-21,Pneumonia,1991-10-05,16.0
480,481,Bottlenose,"NOA0000700, AZA 1050, ISIS 920026",Tapeko's Calf,M,actual,1992,Born,1992-04-28,Brookfield Zoo,,Brookfield Zoo,Died,1992-05-03,"Enteritis, cerebral edema",1992-04-28,5.0
481,482,Bottlenose,"NOA0000701, AZA 1052, 920113",Connie's Calf,F,actual,1992,Miscarriage,1992-05-11,Brookfield Zoo,,Brookfield Zoo,Miscarriage,1992-05-11,-,1992-05-11,0.0
482,483,Bottlenose,"NOA0000705, AZA 510, 930195",Windy's Calf,M,actual,1993,Born,1993-09-03,Brookfield Zoo,,Brookfield Zoo,Died,1993-09-13,Bronchial pneumonia,1993-09-03,10.0
483,484,Bottlenose,"NOA0000706, AZA 511, MH-93-085-TT, 930200",Kaylee,F,actual,1993,Born,1993-09-17,Brookfield Zoo,,Brookfield Zoo,Died,2009-04-03,Euthanasia,1993-09-17,5677.0
484,485,Bottlenose,"NOA0005874, AZA 720, 4",Tapeko's Calf,F,actual,2000,Born,2000-02-01,Brookfield Zoo,,Brookfield Zoo,Died,2000-02-14,-,2000-02-01,13.0
485,486,Bottlenose,"NOA0005998, AZA 1088, 856",Tapeko's Calf,M,actual,2001,Miscarriage,2001-10-04,Brookfield Zoo,,Brookfield Zoo,Miscarriage,2001-10-04,Premature (Stillbirth),2001-10-04,0.0
486,487,Bottlenose,"NOA0005999, AZA 792, 868",Micco,M,actual,2001,Born,2001-10-19,Brookfield Zoo,,Brookfield Zoo,Died,2008-01-13,"Tracheobronchitis, bronchopneumonia",2001-10-19,2277.0
487,488,Bottlenose,"NOA0006185, 1700",Kaylee's Calf,F,actual,2004,Born,2004-06-03,Brookfield Zoo,,Brookfield Zoo,Died,2004-06-08,Neonatal death; no significant findings on necropsy,2004-06-03,5.0
488,489,Bottlenose,"NOA0006405, AZA 1179, 607F1",Nea,F,actual,2007,Born,2007-06-03,Dolphin Quest Bermuda,Dolphin Quest Bermuda to Brookfield Zoo (04-Sep-2010),Brookfield Zoo,Died,2011-09-05,Fractured skull following accidental collision,2010-09-04,1555.0
489,490,Bottlenose,"NOA0006772, AZA ????, 3966",Tapeko's Calf,M,actual,2011,Born,2011-10-30,Brookfield Zoo,,Brookfield Zoo,Died,2011-10-30,Unknown after necropsy,2011-10-30,0.0
490,491,Bottlenose,"NOA0010099, AZA ????, 4715",Allie's Calf,F,actual,2013,Born,2013-08-02,Brookfield Zoo,,Brookfield Zoo,Died,2013-08-08,"Failure to thrive, hypoalimentation",2013-08-02,6.0
491,492,Bottlenose,"NOA0010190, AZA ????, 5493",Noelani's Calf,M,actual,2014,Born,2014-12-05,Brookfield Zoo,,Brookfield Zoo,Died,2014-12-05,Aspiration in immediate postnatal period; pulmonary edema,2014-12-05,0.0
492,493,Bottlenose,"NOA0010191, AZA ????, 5494",Allison's Calf,M,actual,2014,Born,2014-12-12,Brookfield Zoo,,Brookfield Zoo,Died,2014-12-19,Inadequate maternal care,2014-12-12,7.0
493,494,Bottlenose,"NOA0010233, 6577",Birdie,F,estimate,2011,Rescue,2014-12-18,"Bolivar Peninsula, TX","Bolivar Peninsula, Texas to Texas Marine Mammal Stranding Network (18-Dec-2014) to Brookfield Zoo (05-Sep-2015)",Brookfield Zoo,Died,2015-11-03,Euthanasia,2014-12-18,320.0
494,495,Bottlenose,NOA0003784,Sunset Sam,M,estimate,1979,Rescue,1984-05-24,"Tampa Bay, FL","Tampa Bay, Florida to Clearwater Marine Aquarium (24-May-1984) to SeaWorld Orlando (D1988/J1989) to Clearwater Marine Aquarium (??-Mar-1989)",Clearwater Marine Aquarium,Died,2001-12-04,acute-suspect age related,1984-05-24,6403.0
495,496,Bottlenose,"NOA0004996, AZA 234, TT-675 (Navy)",Sybilsbl,F,estimate,1979,Capture,1984-08-29,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Holding, probably Marine Animal Productions (29-Aug-1984) to U.S. Navy (26-Sep-1984) to Clearwater Marine Aquarium (17-Jul-1991)",Clearwater Marine Aquarium,Died,1993-07-29,Bronchopneumonia,1984-08-29,3256.0
496,497,Bottlenose,"NOA0003786, SWF-TT-9317B",Halona,F,estimate,,Rescue,1993-09-09,"Unknown, FL","Unknown, Florida to SeaWorld Orlando (09-Sep-1993) to Unknown Site, Florida (15-Dec-1993) to Unknown Site, Florida (16-Dec-1993) to SeaWorld Orlando? (16-Dec-1993) to Clearwater Marine Aquarium (28-Dec-1993*)",Clearwater Marine Aquarium,Died,1996-06-02,Drowning due to severe disseminated infection/fistulous tract leading from esophagus to left ventral hemithorax,1993-09-09,997.0
497,498,Bottlenose,"FMMSN 9626, MML 9623",Belle,F,estimate,,Rescue,1996-07-13,"Sanibel Island, FL","Sanibel Island, Florida to Mote Marine Laboratory (13-Jul-1996) to Clearwater Marine Aquarium (29-Jul-1996)",Clearwater Marine Aquarium,Died,1996-12-04,-,1996-07-13,144.0
498,499,Bottlenose,"NOA0006002, AZA 832, 10212000",Panama,F,estimate,1977,Rescue,2000-10-21,"Panama City, FL","Panama City, Florida to Gulf World Marine Park (21-Oct-2000) to Clearwater Marine Aquarium (23-Mar-2001)",Clearwater Marine Aquarium,Died,2013-09-25,Bilateral pneumonia,2000-10-21,4722.0
500,501,Bottlenose,"UNK0001227, MH-80-502-TT, NOA0002958, SWF-TT-8803",Carole,F,estimate,1973,Capture,1976-11-07,"Florida, US","Unknown, Florida to Montreal Aquarium (07-Nov-1976) to New England Aquarium (23-Apr-1980) to SeaWorld Orlando (20-Mar-1988) to Discovery Cove (~ Feb 2000)",Discovery Cove,Died,2000-02-24,Lymphoma,1980-04-23,8509.0
501,502,Bottlenose,"NOA0002617, AZA 243, SWC-TT-7911",Scarlet,F,actual,1979,Born,1979-10-18,SeaWorld San Diego,SeaWorld San Diego to SeaWorld Aurora (??-???-????) to SeaWorld San Diego? (??-Oct-1990) to SeaWorld Orlando (??-???-????) to Discovery Cove (~ Feb 2000),Discovery Cove,Died,2009-06-21,uterine rupture and acute peritonitis,1979-10-18,10839.0
502,503,Bottlenose,"NOA0002669, AZA 170, SWF-TT-8003",Jenny,F,estimate,1976,Capture,1980-02-08,"Indian River, FL, US","Indian River, Florida to SeaWorld Orlando (08-Feb-1980) to SeaWorld San Diego (1980s) to SeaWorld Orlando (1980s) to SeaWorld San Diego (1986?) to Discovery Cove (02-Apr-2000)",Discovery Cove,Died,2016-07-27,Euthanasia: Life threatening condition involving pain/suffering,1980-02-08,13319.0
503,504,Bottlenose,"NOA0002857, AZA 152, SWC-TT-8728",Natasha,F,estimate,1974,Capture,1982-04-15,Florida,"Florida, Unknown to Holding, Unknown (15-Apr-1982) to Point Defiance Zoo (??-???-1982) to Marineland of the Pacific (??-Mar-1983) to SeaWorld San Diego (10-Feb-1987) to Discovery Cove (04-Apr-2004)",Discovery Cove,Died,2008-04-26,traumatic cervical vertebral fracture,1982-04-15,9508.0
504,505,Bottlenose,"NOA0003055, 04-938",,F,estimate,1980,Capture,1983-08-13,Florida,"Florida, Unknown to Holding, Florida (13-Aug-1983) to New York Aquarium (??-Jun-1984) to National Aquarium in Baltimore (16-Jul-1991) to New York Aquarium (13-May-1992) to SeaWorld Orlando (09-Nov-1992) to Discovery Cove (??-Nov-2016)",Discovery Cove,Died,2017-01-31,-,1983-08-13,12225.0
505,506,Bottlenose,"NOA0002986, AZA 431, SWF-TT-9102",Penny,F,actual,1989,Born,1989-05-06,SeaWorld San Diego,SeaWorld San Diego to Discovery Cove (04-Apr-2004),Discovery Cove,Died,2004-09-12,acute bronchointerstitial pneumonia,1989-05-06,5608.0
506,507,Bottlenose,"NOA0003040, AZA ????, SWT-TT-9177",Zinger,M,actual,1991,Born,1991-08-05,SeaWorld San Antonio,SeaWorld San Antonio to SeaWorld San Diego (??-Sep-1993) to Discovery Cove (02-Apr-2000),Discovery Cove,Died,2000-12-22,"Severe Pyogranulomatous Bronchopneumonia,",1991-08-05,3427.0
507,508,Bottlenose,"NOA0005507, AZA 562, SWT-TT-9577",Marius,M,actual,1995,Born,1995-08-15,SeaWorld San Antonio,SeaWorld San Antonio to SeaWorld Aurora (26-Apr-1999) to SeaWorld Orlando? (17-Feb-2001) to Discovery Cove (2001 or 2002),Discovery Cove,Died,2002-10-27,Acute Erysipelothrix,1995-08-15,2630.0
